famRank,family,famFreq,word,PoS,freq,ratio,categ,domain
54,tradition,48701,traditionalism,n,154,2.50,x,
55,organize,48507,organization,n,35398,1.70,y,
55,organize,48507,organize,v,11191,1.62,y,
55,organize,48507,organizational,j,5880,2.98,r,Edu
55,organize,48507,organized,j,2121,1.39,x,
55,organize,48507,organizer,n,1344,0.92,x,
55,organize,48507,reorganization,n,729,1.71,y,
55,organize,48507,reorganize,v,601,1.56,y,
55,organize,48507,organizing,j,442,1.73,y,
55,organize,48507,organizing,n,150,1.26,r,His
55,organize,48507,organizationally,r,107,2.73,y,
55,organize,48507,unorganized,j,104,2.09,r,Law
55,organize,48507,organisational,j,44,3.08,r,Med
55,organize,48507,reorganized,j,39,1.71,y,
55,organize,48507,organised,j,21,2.23,r,His+Med
55,organize,48507,organiser,n,15,2.10,r,His+Med
56,practice,47915,practice,n,47915,2.06,y,
56,practice,47915,practice,v,4609,1.38,x,
56,practice,47915,practicing,j,267,1.43,x,
56,practice,47915,practise,v,123,1.51,r,Med
56,practice,47915,practiced,j,116,0.56,x,
56,practice,47915,practicing,n,42,0.96,r,Hum
56,practice,47915,practising,j,19,1.66,r,Med
57,report,46865,report,v,44666,1.64,y,
57,report,46865,report,n,27117,1.04,x,
57,report,46865,reporter,n,3261,0.32,r,Law
57,report,46865,reporting,n,2552,1.10,x,
57,report,46865,reported,j,2199,2.07,y,
57,report,46865,reportedly,r,1360,0.74,x,
57,report,46865,self-reported,j,1100,3.38,r,Soc
57,report,46865,unreported,j,158,1.34,x,
57,report,46865,reporting,j,28,1.75,r,Edu
58,thus,46287,thus,r,46287,2.69,y,
59,interest,46255,interest,n,43498,1.51,y,
59,interest,46255,interesting,j,9003,0.77,x,
59,interest,46255,interested,j,8350,0.93,x,
59,interest,46255,interestingly,r,1833,1.99,y,
59,interest,46255,self-interest,n,924,2.00,y,
59,interest,46255,interest,v,555,0.78,x,
59,interest,46255,uninterested,j,189,1.18,x,
59,interest,46255,uninteresting,j,115,1.31,x,
60,associate,46060,associate,v,23565,2.49,y,
60,associate,46060,association,n,22245,1.64,y,
60,associate,46060,associate,n,3464,1.25,x,
60,associate,46060,associate,j,2548,1.38,x,
60,associate,46060,associated,j,2537,1.17,x,
60,associate,46060,associative,j,250,3.04,y,
61,technology,45955,technology,n,40104,1.84,y,
61,technology,45955,technological,j,5277,2.21,y,
61,technology,45955,tech,n,2143,0.67,x,
61,technology,45955,high-tech,j,1437,0.85,x,
61,technology,45955,technologically,r,574,1.88,y,
61,technology,45955,technologist,n,249,1.91,r,Sci
62,term,45677,term,n,29927,1.61,y,
62,term,45677,terms,i,14012,1.46,x,
62,term,45677,long-term,j,10807,1.66,y,
62,term,45677,short-term,j,3023,1.63,y,
62,term,45677,term,v,1920,2.03,y,
62,term,45677,midterm,n,190,0.53,r,Law
63,identify,45515,identify,v,36820,2.22,y,
63,identify,45515,identity,n,23097,2.40,x,
63,identify,45515,identification,n,7420,2.46,y,
63,identify,45515,identifiable,j,903,2.14,y,
63,identify,45515,identified,j,617,3.13,r,Edu
63,identify,45515,unidentified,j,427,0.03,x,
63,identify,45515,identifier,n,212,2.41,y,
63,identify,45515,identifying,j,160,1.64,y,
63,identify,45515,unidentifiable,j,46,0.81,x,
64,indicate,45150,indicate,v,38022,2.34,y,
64,indicate,45150,indicator,n,5934,2.43,y,
64,indicate,45150,indication,n,3263,1.23,x,
64,indicate,45150,indicative,j,1109,2.27,y,
64,indicate,45150,indicated,j,85,2.38,y,
65,similar,44873,similar,j,31385,1.90,y,
65,similar,44873,similarly,r,8941,2.39,y,
65,similar,44873,similarity,n,4010,2.29,y,
65,similar,44873,dissimilar,j,396,2.20,y,
65,similar,44873,dissimilarity,n,141,2.92,y,
66,discuss,44798,discussion,n,23781,1.94,y,
66,discuss,44798,discuss,v,21017,1.53,y,
66,discuss,44798,discussed,j,22,1.83,r,Edu
66,discuss,44798,undiscussed,j,17,2.59,r,Rel
67,rate,44493,rate,n,44493,1.65,y,
67,rate,44493,rating,n,8905,1.39,r,Edu
67,rate,44493,rate,v,5374,1.67,r,Edu
67,rate,44493,rater,n,525,3.05,r,Edu
67,rate,44493,rated,j,135,1.34,r,Edu
68,figure,44084,figure,n,44084,1.92,y,
68,figure,44084,fig,n,9926,2.74,r,Hum
68,figure,44084,figure,v,6664,0.59,x,
68,figure,44084,figural,j,305,2.82,r,Hum
68,figure,44084,figuration,n,173,2.41,r,Hum
68,figure,44084,figuring,n,19,1.09,x,
69,focus,44055,focus,v,28692,1.57,y,
69,focus,44055,focus,n,14735,1.75,y,
69,focus,44055,focused,j,628,1.52,y,
69,focus,44055,unfocused,j,81,0.71,r,Edu
69,focus,44055,focusing,j,72,2.63,r,Sci
69,focus,44055,focusing,n,56,2.72,x,
69,focus,44055,focussed,j,15,1.95,r,Law
69,focus,44055,unfocussed,j,2,0.30,r,Soc
70,factor,43871,factor,n,43871,2.43,y,
70,factor,43871,factor,v,376,1.31,x,
70,factor,43871,factoring,n,18,2.03,r,Edu
71,structure,43843,structure,n,30887,2.31,y,
71,structure,43843,structural,j,6340,2.63,y,
71,structure,43843,structured,j,1789,2.62,y,
71,structure,43843,structure,v,1776,2.28,y,
71,structure,43843,restructuring,n,1488,1.87,y,
71,structure,43843,restructure,v,1020,1.56,y,
71,structure,43843,structurally,r,439,2.19,y,
71,structure,43843,structuring,n,406,1.49,x,
71,structure,43843,unstructured,j,261,2.33,r,Edu
71,structure,43843,structuralist,j,239,3.32,r,Hum
71,structure,43843,structuralism,n,133,2.97,r,Hum
71,structure,43843,restructured,j,104,2.08,y,
72,apply,43687,apply,v,22641,1.73,y,
72,apply,43687,application,n,18335,2.31,y,
72,apply,43687,applied,j,2711,2.49,y,
72,apply,43687,reapplication,n,16,1.70,r,Med
73,compare,43595,compare,v,27616,1.86,y,
73,compare,43595,comparison,n,12058,2.30,y,
73,compare,43595,comparable,j,3562,2.08,y,
73,compare,43595,comparability,n,220,3.28,y,
73,compare,43595,comparably,r,139,2.00,y,
73,compare,43595,incomparable,j,107,0.86,x,
73,compare,43595,incomparably,r,40,1.33,x,
74,observe,43002,observe,v,20645,2.20,y,
74,observe,43002,observation,n,13512,2.50,y,
74,observe,43002,observer,n,7997,1.92,y,
74,observe,43002,observatory,n,3766,2.83,r,Sci
74,observe,43002,observed,j,1716,3.23,x,
74,observe,43002,observational,j,947,3.03,x,
74,observe,43002,observable,j,848,3.05,y,
74,observe,43002,observant,j,171,0.94,r,Rel
74,observe,43002,unobserved,j,76,1.33,x,
74,observe,43002,unobservable,j,61,3.24,x,
74,observe,43002,unobservant,j,3,0.48,r,Rel
75,specific,42821,specific,j,28840,2.22,y,
75,specific,42821,specifically,r,11133,1.90,y,
75,specific,42821,specification,n,1634,2.20,y,
75,specific,42821,specificity,n,1214,2.79,y,
75,specific,42821,specific,n,574,0.82,x,
75,specific,42821,unspecific,j,12,1.11,x,
76,need,42370,need,v,75094,0.86,x,
76,need,42370,need,n,42193,1.82,y,
76,need,42370,needless,j,552,1.09,x,
76,need,42370,needed,j,177,1.57,y,
76,need,42370,needlessly,r,144,0.97,x,
76,need,42370,unneeded,j,63,0.95,x,
76,need,42370,needful,j,25,0.88,r,Rel
77,reduce,42189,reduce,v,29853,1.69,y,
77,reduce,42189,reduction,n,10007,2.04,y,
77,reduce,42189,reduced,j,2329,2.05,y,
77,reduce,42189,reductionism,n,172,3.22,x,
77,reduce,42189,reducible,j,125,2.88,x,
77,reduce,42189,reducing,j,111,1.97,r,Med
78,base,42082,base,v,42082,1.80,y,
78,base,42082,base,n,13241,1.04,x,
78,base,42082,baseless,j,50,0.75,x,
78,base,42082,base,j,43,1.08,x,
78,base,42082,basing,j,14,2.04,r,His
78,base,42082,basing,n,10,1.46,r,His
79,region,42022,region,n,28595,1.82,y,
79,region,42022,regional,j,13153,1.85,y,
79,region,42022,regionally,r,274,2.05,y,
79,region,42022,regionalism,n,222,2.57,r,His
79,region,42022,regionalist,j,56,2.55,r,Hum
